DEPTH;MEASURED;DELTA;OBSERVED;TRANSIT;DELTA2;ACOUSTIC
;;15;;;0,0013;11613
4018,3;3709,3;;0,4133;0,4639;;
;;15;;;0,0013;11844
4033,3;3725;;0,4146;0,4651;;
;;15;;;0,0012;12022
4048,2;3740,7;;0,4159;0,4664;;
;;15;;;0,0012;12111
4063,2;3756,4;;0,4171;0,4676;;
;;15;;;0,0012;12122
4078,1;3772,1;;0,4184;0,4688;;
;;15;;;0,0012;12036
4093,1;3787,8;;0,4197;0,4701;;
;;15;;;0,0013;11860
4108,1;3803,5;;0,4209;0,4713;;
;;15;;;0,0013;11632
4123;3819,2;;0,4223;0,4726;;
;;15;;;0,0013;11347
4138;3834,9;;0,4236;0,4739;;
;;15;;;0,0014;11025
4153;3850,6;;0,425;0,4753;;
;;15;;;0,0014;10694
4167,9;3866,4;;0,4264;0,4767;;
;;15;;;0,0014;10356
4182,9;3882,1;;0,4279;0,4781;;
;;15;;;0,0015;10046
4197,9;3897,8;;0,4294;0,4796;;
;;15;;;0,0015;9824
4212,9;3913,4;;0,431;0,4812;;
;;15;;;0,0015;9725
4227,9;3929,1;;0,4326;0,4827;;
;;15;;;0,0015;9730
4242,9;3944,9;;0,4342;0,4842;;
;;15;;;0,0015;9833
4257,9;3960,6;;0,4357;0,4858;;
;;15;;;0,0015;9966
4272,9;3976,3;;0,4373;0,4873;;
;;15;;;0,0015;10078
4288;3992;;0,4388;0,4888;;
;;15;;;0,0015;10145
4303;4007,7;;0,4403;0,4903;;
;;15;;;0,0015;10215
4318;4023,4;;0,4418;0,4917;;
;;15;;;0,0015;10358
4333,1;4039,1;;0,4433;0,4932;;
;;15,1;;;0,0014;10583
4348,1;4054,8;;0,4447;0,4946;;
;;15,1;;;0,0014;10822
4363,2;4070,5;;0,4462;0,496;;
;;15,1;;;0,0014;11016
4378,3;4086,2;;0,4476;0,4974;;
;;15,1;;;0,0014;11074
4393,3;4101,9;;0,449;0,4987;;
;;15,1;;;0,0014;11010
4408,4;4117,6;;0,4504;0,5001;;
;;15,1;;;0,0014;10919
4423,5;4133,3;;0,4518;0,5015;;
;;15,1;;;0,0014;10863
4438,6;4149;;0,4532;0,5029;;
;;15,1;;;0,0014;10828
4453,6;4164,7;;0,4546;0,5042;;
;;15,1;;;0,0014;10832
4468,7;4180,4;;0,4561;0,5056;;
;;15,1;;;0,0014;10882
4483,8;4196,1;;0,4575;0,507;;
;;15,1;;;0,0014;11004
4498,9;4211,8;;0,4589;0,5084;;
;;15,1;;;0,0014;11137
4514;4227,5;;0,4603;0,5098;;
;;15,1;;;0,0013;11208
4529,1;4243,2;;0,4617;0,5111;;
;;15,1;;;0,0013;11191
4544,2;4258,9;;0,463;0,5125;;
;;15,1;;;0,0014;11052
4559,3;4274,6;;0,4644;0,5138;;
;;15,1;;;0,0014;10855
4574,4;4290,3;;0,4659;0,5152;;
;;15,1;;;0,0014;10647
4589,5;4306;;0,4673;0,5166;;
;;15,1;;;0,0014;10452
4604,5;4321,7;;0,4688;0,5181;;
;;15;;;0,0015;10326
4619,6;4337,4;;0,4703;0,5195;;
;;15,1;;;0,0015;10312
4634,6;4353,1;;0,4718;0,521;;
;;15;;;0,0014;10401
4649,7;4368,8;;0,4733;0,5224;;
;;15;;;0,0014;10595
4664,7;4384,5;;0,4747;0,5238;;
;;15;;;0,0014;10830
